country,new_cases,tests_done,population,testing_rate,positivity_rate,Week,deaths,weekly_cfr,population_ce,testing_rate_ce,tests_done_ce,new_cases_ce,deaths_ce,positivity_rate_ce
Croatia,184,9490,4076246,232.81224930000002,1.938883035,17,15,0.08152173913043478,-0.5776028831239618,-0.5167947287828417,-0.4558343566291786,-0.35468937805106443,-0.2535350251541777,-0.2962593412842766
Croatia,72,8714,4076246,213.7751254,0.826256599,18,23,0.3194444444444444,-0.5776028831239618,-0.5319160880324263,-0.4591064581587277,-0.3649239234277877,-0.24264164762796103,-0.4904453535426351
Croatia,88,10305,4076246,252.8061358,0.8539543909999999,19,10,0.11363636363636363,-0.5776028831239618,-0.5009134043690253,-0.45239780669801555,-0.3634618455168272,-0.26034338610806307,-0.48561127482329625
Croatia,48,10355,4076246,254.0327546,0.463544182,20,8,0.16666666666666666,-0.5776028831239618,-0.4999390899907334,-0.45218697541389513,-0.36711704029422837,-0.26306673048961726,-0.5537493301289157
Croatia,19,9593,4076246,235.33908399999999,0.19806108600000003,21,4,0.21052631578947367,-0.5776028831239618,-0.5147876411858011,-0.4554000441838905,-0.3697670565078442,-0.2685134192527256,-0.600083932710876
Croatia,3,5224,4076246,128.1571328,0.057427259,22,4,1.3333333333333333,-0.5776028831239618,-0.5999232319231518,-0.47382248179033376,-0.3712291344188047,-0.2685134192527256,-0.6246286686349485
Croatia,1,2511,4076246,61.60079642,0.039824771,23,1,1.0,-0.5776028831239618,-0.6527895303212081,-0.4852621872667084,-0.3714118941576747,-0.27259843582505683,-0.6277008201136013
Croatia,4,1797,4076246,44.08467987,0.222593211,24,3,0.75,-0.5776028831239618,-0.6667027397115269,-0.48827285800394815,-0.37113775454936965,-0.2698750914435027,-0.5958023559193881
Croatia,48,2910,4076246,71.38921449,1.649484536,25,0,0.0,-0.5776028831239618,-0.6450145015459007,-0.48357975361942734,-0.36711704029422837,-0.2739601080158339,-0.3467678845437724
Croatia,325,6427,4076246,157.6695813,5.05679166,26,0,0.0,-0.5776028831239618,-0.5764812278448276,-0.4687498810943962,-0.34180481646072536,-0.2739601080158339,0.24790734654974464
